epoch,train_loss,val_loss,lr,time
0,0.6831013807252746,0.6423576625411499,2e-06,240.56757426261902
1,0.5977320893877635,0.5577807852509512,2e-06,237.37106466293335
2,0.5540561148563903,0.5026790702212022,2e-06,235.8991470336914
3,0.5158068559519512,0.46790911420467474,2e-06,236.54614686965942
4,0.4910455139113603,0.4547824872839252,2e-06,232.69001030921936
5,0.467972734772042,0.5112806906311815,2e-06,231.62068247795105
6,0.44856494849424344,0.43898970597603865,2e-06,232.50854468345642
7,0.4491139593783028,0.4422234406740847,2e-06,229.7102267742157
8,0.4279724271992545,0.4237955113432511,2e-06,229.5695924758911
9,0.41969569858151373,0.4060300562230222,2e-06,227.4567677974701
10,0.41756969155569273,0.40951661326125977,2e-06,227.39626836776733
11,0.4115817700500352,0.41007365815041863,2e-06,227.45658564567566
12,0.3886186068899669,0.4118739137781683,2e-06,226.8111538887024
13,0.3916948198004077,0.4076417628012107,2e-06,228.07324767112732
14,0.37584993427368707,0.41018983371636714,2e-06,227.53147745132446
15,0.37130498273995555,0.415057848712546,1e-06,227.07100415229797
16,0.35956934148990727,0.4025594287977686,1e-06,226.40702652931213
17,0.35859367945500165,0.40476794880041395,1e-06,228.31005263328552
18,0.36751696565550646,0.39637916618840957,1e-06,227.38101387023926
19,0.3629338565009937,0.4030966857251323,1e-06,229.19862627983093
20,0.3498196169814801,0.4072326871707926,1e-06,227.9203028678894
21,0.35321518937574287,0.39841662054209076,1e-06,226.3598701953888
22,0.35337281900324496,0.4084079095656085,1e-06,228.037846326828
23,0.3555831794305967,0.3931281571844637,1e-06,228.58489274978638
24,0.34655899473964563,0.3990406515029224,1e-06,227.05741167068481
25,0.346379457711155,0.4080448174880128,1e-06,229.0503430366516
26,0.34382401043233296,0.396054874669262,1e-06,227.26307702064514
27,0.33848784507986196,0.4076374279079054,1e-06,228.15758681297302
28,0.3489984825686948,0.40917190410353355,1e-06,228.53535795211792
29,0.32701306162898464,0.39989028008949473,5e-07,226.38234782218933
30,0.33590025372328414,0.4089244262397528,5e-07,227.17603015899658
31,0.32260598373480326,0.3990130333235614,5e-07,227.23496890068054
32,0.32822051879783515,0.40235907487041284,5e-07,224.77427649497986
33,0.3304068503283874,0.4100812677086092,5e-07,227.5707664489746
