image,count
datasets\frames_1\0\neg\BEDLUS_003_011_000.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_002.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_006.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_007.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_008.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_009.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_010.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_011.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_012.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_015.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_016.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_019.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_022.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_023.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_024.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_025.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_026.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_027.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_029.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_030.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_031.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_032.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_033.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_034.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_035.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_038.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_040.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_041.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_043.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_045.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_046.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_049.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_050.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_051.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_052.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_053.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_054.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_055.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_056.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_057.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_061.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_063.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_064.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_065.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_067.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_068.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_069.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_070.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_071.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_073.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_074.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_076.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_077.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_079.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_080.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_082.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_083.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_085.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_086.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_088.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_089.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_091.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_092.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_093.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_094.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_096.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_097.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_100.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_101.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_000.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_001.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_006.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_008.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_009.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_010.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_013.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_015.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_017.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_018.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_020.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_021.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_022.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_026.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_027.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_028.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_029.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_030.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_031.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_032.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_034.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_035.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_037.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_039.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_042.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_043.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_044.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_045.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_046.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_047.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_048.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_049.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_050.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_051.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_052.tiff,1
