image,count
datasets\frames_1\0\neg\BEDLUS_003_011_000.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_001.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_002.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_003.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_004.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_005.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_006.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_008.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_009.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_010.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_011.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_012.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_013.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_014.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_015.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_011_016.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_017.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_011_018.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_019.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_020.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_021.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_022.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_023.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_024.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_025.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_026.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_027.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_028.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_029.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_030.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_031.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_032.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_033.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_034.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_035.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_036.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_037.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_038.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_039.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_041.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_042.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_043.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_044.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_045.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_046.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_047.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_048.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_049.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_051.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_011_052.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_053.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_054.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_011_056.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_057.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_011_058.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_059.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_060.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_061.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_062.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_063.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_064.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_065.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_011_066.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_067.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_068.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_069.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_070.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_071.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_072.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_073.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_011_074.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_075.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_076.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_077.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_078.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_080.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_081.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_082.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_083.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_084.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_085.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_086.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_087.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_088.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_089.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_090.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_091.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_092.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_094.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_095.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_096.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_097.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_098.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_099.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_100.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_011_101.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_102.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_013_000.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_001.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_002.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_003.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_004.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_005.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_006.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_007.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_008.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_009.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_010.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_011.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_012.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_013.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_014.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_015.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_016.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_017.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_018.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_019.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_020.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_021.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_022.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_023.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_024.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_025.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_026.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_027.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_028.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_029.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_030.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_013_031.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_032.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_033.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_013_035.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_036.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_037.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_038.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_039.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_040.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_041.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_042.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_043.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_045.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_047.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_048.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_049.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_050.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_051.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_052.tiff,5
