epoch,train_loss,val_loss,lr,time
0,0.5031692961773919,0.4013254861018732,2e-06,1029.8879153728485
1,0.3705315308542158,0.37038367981241427,2e-06,988.7907717227936
2,0.33714042853874693,0.3689008988453189,2e-06,986.9788777828217
3,0.3046674479877405,0.41264694955152426,2e-06,981.325288772583
4,0.268854943363418,0.3962427588121421,2e-06,979.7267220020294
5,0.2472250068310991,0.43627236584176426,2e-06,977.7366168498993
6,0.2199856482492016,0.5243006506603853,2e-06,972.6370599269867
7,0.21161160766742507,0.608209742134006,2e-06,968.386212348938
8,0.1821927609185853,0.4861135608875091,1e-06,966.4018604755402
9,0.17057430610230312,0.5278744083841793,1e-06,962.6376495361328
10,0.16923781777792826,0.5348777903205562,1e-06,960.653879404068
11,0.14711570317769662,0.5594667368878228,1e-06,955.3092558383942
12,0.14583120781474598,0.5733495770506042,1e-06,954.65256690979
