epoch,train_loss,val_loss,lr,time
0,0.648399641516559,0.5700394596122759,2e-06,242.19300198554993
1,0.5515560026758354,0.5432040092059136,2e-06,236.6552517414093
2,0.49029124565837195,0.4750731017254508,2e-06,235.477299451828
3,0.4684703745604321,0.4440211859671509,2e-06,235.2167248725891
4,0.4502387708634194,0.4256263546647813,2e-06,236.1458022594452
5,0.4256884689992195,0.425940239138302,2e-06,235.7770082950592
6,0.4113894572451455,0.43894842962932334,2e-06,235.99916815757751
7,0.4124002207443196,0.433484410685764,2e-06,234.69837403297424
8,0.39456498147919666,0.43169158393446166,2e-06,235.5151948928833
9,0.3845920240109726,0.43478474162047914,2e-06,235.65314316749573
10,0.3660946046446841,0.4189910766361019,1e-06,236.28563165664673
11,0.35508386256057933,0.4298428577320035,1e-06,233.90251278877258
12,0.3524756617029247,0.4293547210488943,1e-06,232.7282898426056
13,0.34683066192750955,0.4261159571137923,1e-06,235.5573148727417
14,0.3427536238540137,0.4452671218501887,1e-06,233.49625968933105
15,0.3385726233258216,0.42986991593861795,1e-06,234.80818557739258
16,0.33518785478928415,0.43057257403560695,5e-07,235.61271929740906
17,0.32036328360411254,0.4245715928285399,5e-07,234.14321637153625
18,0.32221048197004337,0.4260501923037302,5e-07,234.11420106887817
19,0.3230233293806186,0.42685642734652685,5e-07,234.07828879356384
20,0.316785349731486,0.4664679811740205,5e-07,233.6693046092987
