epoch,train_loss,val_loss,lr,time
0,0.6460606642135724,0.5837335814744657,2e-06,240.13078904151917
1,0.5432969284619479,0.5147652270558449,2e-06,234.04770731925964
2,0.4862734244447173,0.4881747800754436,2e-06,234.17188715934753
3,0.4509461285459724,0.569926414792576,2e-06,234.10811948776245
4,0.43879206237138124,0.45708739934250664,2e-06,232.6992473602295
5,0.4079379081441513,0.4728440996468732,2e-06,233.74659895896912
6,0.40965500721191955,0.4360767771293618,2e-06,233.98499608039856
7,0.39624763942535807,0.4636640653987281,2e-06,234.47853684425354
8,0.37474512517495423,0.4451254329118061,2e-06,234.5990023612976
9,0.35912269098145955,0.4443354365904032,2e-06,235.25434756278992
10,0.35233676925433355,0.4553709068409156,2e-06,233.0509753227234
11,0.34368024383308543,0.47036445030872936,2e-06,232.03552508354187
12,0.3306212923289105,0.45917703379158187,1e-06,231.66722917556763
13,0.3356901759088663,0.4673582655809766,1e-06,231.44123673439026
14,0.3318050680515062,0.4615207314079975,1e-06,231.16493487358093
15,0.3183484767588767,0.4822906367835787,1e-06,230.13373947143555
16,0.31609309391372664,0.4895214765228879,1e-06,230.41278171539307
