epoch,train_loss,val_loss,lr,time
0,0.5168833937989643,0.35392950804678364,2e-06,1040.0860860347748
1,0.38205484587415467,0.3448817967420524,2e-06,1043.005661725998
2,0.35101757648412885,0.3244014611680931,2e-06,1041.67458486557
3,0.3267317957170085,0.4016631204019601,2e-06,1010.8973507881165
4,0.28127996730850097,0.3744928667109671,2e-06,991.9737198352814
5,0.2691092745768119,0.3906182084998778,2e-06,992.6380386352539
6,0.24798988255560148,0.4311116621594872,2e-06,979.601155757904
7,0.21837503423727525,0.4934740828465484,2e-06,967.4087839126587
8,0.19630400714334217,0.4668559558650336,1e-06,972.6003046035767
9,0.1850161098427331,0.49433844046532643,1e-06,973.396203994751
10,0.17852336008780248,0.5193253075839271,1e-06,984.6933732032776
11,0.1654631153389174,0.4974972117701798,1e-06,1034.3382668495178
12,0.16368642909349548,0.5236814547496997,1e-06,993.2447097301483
