epoch,train_loss,val_loss,lr,time
0,0.6395947746760704,0.6124717815392517,2e-06,262.54506611824036
1,0.5598079559320668,0.4910713587214011,2e-06,245.24274826049805
2,0.49535372757864965,0.4581299306556335,2e-06,242.29906463623047
3,0.4676439953175837,0.41684071742295764,2e-06,239.65807271003723
4,0.449375730139129,0.39331705454262217,2e-06,236.25595331192017
5,0.42652797889360605,0.40173643036258744,2e-06,234.01566410064697
6,0.4106847423587586,0.4002825554979058,2e-06,234.29717326164246
7,0.39952703010284984,0.4380150265600493,2e-06,231.19930791854858
8,0.39770943548139676,0.4170856103971521,2e-06,232.051682472229
9,0.38619398589294185,0.42182409054265385,2e-06,233.68490290641785
10,0.36171242163497597,0.48589780806747945,1e-06,231.57618832588196
11,0.3567351971457749,0.4127505405161478,1e-06,232.09378480911255
12,0.35022445492648824,0.40718074098801305,1e-06,230.5784649848938
13,0.3352435505942324,0.4193899341610448,1e-06,230.95587420463562
14,0.3383110912488565,0.42827059471942697,1e-06,234.74385857582092
