epoch,train_loss,val_loss,lr,time
0,0.5818243131589546,0.4212349204952334,2e-06,4313.122428655624
1,0.4476651051733705,0.39519276704756484,2e-06,3058.6166756153107
2,0.4218771730613469,0.34848645101262926,2e-06,2680.4626412391663
3,0.4035747225468723,0.4023870349698531,2e-06,2956.6734759807587
4,0.36718423085060725,0.3209438879973027,2e-06,3239.091510772705
5,0.363422073199024,0.34343030675454383,2e-06,3079.069885492325
6,0.34832656665205186,0.3515875502393847,2e-06,3087.504324197769
7,0.33430120748888476,0.3714543989816459,2e-06,3346.408181667328
8,0.317925087492508,0.41554667456973204,2e-06,3327.9971289634705
9,0.3069288179925585,0.37466830428875275,2e-06,3442.441257238388
10,0.2958442959925829,0.39033352085051687,1e-06,3355.9714958667755
11,0.27042257859483443,0.38297054641559236,1e-06,3338.0764191150665
12,0.2846251053177034,0.372548023123158,1e-06,3332.7152757644653
13,0.2653421813465983,0.4034909556148396,1e-06,3357.25994515419
14,0.25808163576727544,0.39914762378620045,1e-06,3345.1163671016693
